-0.14793,5.1762
0.42993,5.4309
0.88814,5.6333
1.3446,5.9106
1.6996,6.1243
1.9531,6.2817
2.4632,6.4653
2.8711,6.6189
3.743,6.7313
4.3079,6.7761
5.2329,6.821
6.0033,6.8771
6.6705,6.9444
7.4393,7.068
8.0223,7.1501
8.455,7.2324
8.9742,7.3336
9.4937,7.4222
10.012,7.5552
10.617,7.6881
11.136,7.8147
11.828,7.973
12.433,8.1122
12.951,8.2578
13.73,8.4224
14.422,8.5617
14.94,8.7136
15.718,8.8718
16.67,9.0554
17.362,9.2263
17.967,9.3402
18.747,9.4541
19.526,9.587
20.306,9.7136
21.086,9.8085
21.866,9.9224
22.559,10.017
23.513,10.106
24.468,10.169
25.335,10.251
26.898,10.333
28.374,10.396
29.765,10.415
31.677,10.421
32.982,10.383
34.635,10.332
35.941,10.275
36.985,10.224
38.117,10.16
38.9,10.103
39.945,10.033
40.903,9.9697
41.948,9.8872
43.168,9.7856
44.3,9.6967
45.433,9.5762
46.565,9.4873
47.698,9.3667
48.657,9.2905
49.877,9.151
51.271,9.024
52.317,8.9098
53.624,8.7892
54.582,8.6877
56.238,8.5417
57.371,8.4212
58.416,8.3196
59.201,8.2435
59.811,8.18
